2025,"R07",3,
,"井上愛理","受発注シミュレーションを用いた企業間取引手法の分析評価",
,"井上湧斗","設備停止に対するTPMを用いた生産効率性分析の一試み",
,"岡本和樹","観光客の行動特性に着目したエージェントシミュレーションの一試み",
,"茂木優斗","需要変動環境下におけるシミュレーションを用いた在庫保有戦略の一検討",
,"森川智史","肺疾患診断自動化に向けたHough変換による光学画像からのマイクロバブル検出",
2024,"R06",3,
,"川村新樹","需要の不確実性に対応する内示情報を用いた確率計画法による生産計画手法の一検討",
,"長澤歩","工場内物流シミュレーションを用いたSPMTを対象とする搬送ルール決定法の一検討",
,"原田創太","多目的組合せ最適化問題に対するNSGA－Ⅱの解探索集中化に関する一検討",
,"平野大智","社会シミュレーションによるライドシェア制度導入を対象とした公共交通空白地の利便性に関する一検討",
,"薮井桃矢","温熱治療中の腹腔臓器を対象としたMR非侵襲温度計測誤差改善に関する一検討",
,"山田竜志","社会シミュレーションを用いた豪雨時における避難行動の基礎解析",
2023,"R05",3,
,"伊吹誠彦","ロットサイズを考慮した電力コスト最小化を目指す納期遵守の生産計画手法に関する一提案",
,"岡部希美","ロット編成を考慮した日用雑貨製品の生産計画最適化手法に関する一提案",
,"小川巧真","モジュール製品を対象とした納期遵守のための中間在庫引当てと生産スケジューリングの最適化手法に関する一提案",
,"塚川景介","MR画像を用いたセルオートマトンモデルに基づくがん領域の時間発展予測に関する一提案",
,"濱田飛成","中食産業における作業時間の不確実性を考慮した生産スケジューリングの最適化手法に関する一提案",
,"舟橋慧人","チェーン工場を対象とした多品種生産スケジューリング手法の一提案",
,"道下朝陽","組合せオークションを用いた来街者の回遊性向上に関する基礎的研究",
2022,"R04",3,
,"岡田浩一","スマートな移動サービス提案に向けたシステム間連携に関する基礎研究",
,"木村和真","映像情報を用いた駐車場利用状況の可視化に関する研究",
,"小林響生","サプライチェーン途絶リスクに対する安全在庫決定手法の一検討",
,"白石翔","磁気共鳴画像における血管位置に着目した肝臓動態予測手法に関する基礎研究",
,"関原規晃","列車運転支援のための運転操作特徴の抽出に関する基礎的研究",
,"滝澤晴世","回遊履歴情報を用いた駐車場利用状況の可視化に関する研究",
,"永田大貴","作業時間の不確実性を考慮した生産スケジューリング手法の一提案",
,"西川綾乃","再生可能エネルギーの不確実性を考慮した電力運用最適化手法の一検討",
,"山口凌央","木口画像を用いた木材の径級分類に関する研究",
2021,"R03",3,
,"大本颯","ジョブショップスケジューリング問題を対象としたラグランジュ分解・調整法における上界値算出法についての基礎検討",
,"岸本拓也","畳み込みオートエンコーダを用いた農作物の病害予測に関する基礎的研究",
,"栗本健介","クラウドソースドマニュファクチャリングにおける重み付き組合せダブルオークションを用いた公平なリソース配分実現への一検討",
,"作田隼樹","MR画像の多施設間相互比較実現に向けたシミュレーションによる定量性賦与法に関する基礎研究",
,"清水岳","マルチスケールモデリングの概念に基づく新型感染症問題を対象とした政策と人の行動変容の関係性に関する基礎解析",
,"鈴木陽太","オフィス業務を対象とした頑健な業務割当計画手法に関する基礎的研究",
,"筒井伸輔","マスカスタマイゼーションにおける納期遵守を目指した動的スケジューリング手法の一検討",
2020,"R02",3,
,"上田浩行","異なる条件下で取得したMR画像のレジストレーション法の一提案",
,"金澤宏篤","外食産業におけるシミュレーションを用いた自動搬送機の運用法に関する基礎的研究",
,"孫誠","人流解析と最適化を用いた服飾小売店舗内レイアウト計画に関する基礎的研究",
,"辻本悠人","生産シミュレーションを用いたロットサイズ調整によるスループット向上に向けた一検討",
,"藤村ありさ","企業間ネットワークを活用した証券アナリスト支援に関する基礎的検討",
,"村上亘","フレキシブルジョブショップを対象とした機械稼働計画に関する一検討",
,"薮内雅幸","生産設備の省電力化を目指したスケジューリングに関する基礎検討",
2019,"H31",3,
,"入江恭平","管理食を対象とした献立計画システムの一提案",
,"神田海翔","社会シミュレーションを用いたコミュニティサイクルの普及促進に向けた一検討",
,"田中喜大","悪性腫瘍の変化予測のための領域拡張法による腫瘍摘出手法の一提案",
,"津谷鉱平","飲食業におけるサービス提供現場のレイアウト計画に関する基礎的研究",
,"昇夏海","アナリストレポートを対象としたテキストマイニングによる企業評価予測に関する基礎的検討",
,"原田瑞基","モデルベースシステムズエンジニアリングによる健康モデルシステムの仕様可視化に向けた一検討",
,"山根雄","ユーザの製品知識量の差を考慮した生産計画立案手法の一提案",
2018,"H30",3,
,"飯塚俊介","畳み込みニューラルネットワークを用いた農作物の育成予測に関する研究",
,"大見勇人","方向指向性を付加したレヴィフライトを用いたカッコウ探索の特性解析",
,"崎山誠","アイデアソンにおけるグループティスカッションの可視化に関する基礎的研究",
,"仲川侑介","高速ＭＲ温度計のための圧縮センシングを用いた画像再構成に関する基礎研究",
,"中山淳志","コール市場における外部資産を保持した金融機関のシステミックリスク分析",
,"原田佳明","Crowdsourced Manufacturing環境下における企業間の設備共有手法に関する一提案",
,"山下健","製造業における営業･顧客間の受発注戦略に関する基礎研究",
2017,"H29",3,
,"釜元大樹","所属組織に基づいた企業間ネットワークにおけるサービスの普及に関する基礎的研究",
,"杉本直弘","人的資源の運用コスト最小化を目的とした列生成法による鉄道乗務員運用計画立案手法の一提案",
,"田口智也","System of Systemsの概念に従うエージェントベースモデリングを用いたシステム間の連携に関する基礎研究",
,"田村菜ツ実","多様性を考慮した解探索機構を有するMax-Min Ant Systemの一提案",
,"西村翔平","マスカスタム生産における遺伝的アルゴリズムを用いたジョブショップスケジューリング手法の一提案",
,"洪性明","アントエージェントを用いた生産設備ネットワークにおける異常発見に関する基礎的研究",
