2025,"R07",3,
,"伊吹誠彦","データ取得不能な工程に対するシミュレーションを用いた生産進捗データ推定手法に関する一提案",
,"小川巧真","マスカスタマイゼーション実現のための組合せオークションを用いた動的スケジューリングに関する研究",
,"神部尚樹","マルチスケール社会シミュレーションを用いた健幸都市政策立案のための意思決定支援に関する研究",
,"塚川景介","磁気共鳴画像を用いたセルオートマトンモデルによる腫瘍領域予測手法に関する研究",
2024,"R06",3,
,"岡田浩一","社会シミュレーションを用いた公共交通に関する地域住民の価値向上に向けた一提案-コミュニティバス事業を対象に-",
,"小林響生","二段階確率計画法を用いた強靱性を有するサプライチェーンの効率的設計手法に関する研究",
,"白石翔","MR画像を用いた血管変位情報に基づく肝臓動態予測手法に関する研究",
,"永田大貴","処理時間の不確実性と作業者制約を考慮したジョブショップスケジューリング最適化に関する研究",
,"西川綾乃","確率計画法を用いた電力運用計画およびその生産計画との連携手法に関する研究",
,"山野上恵","社会シミュレーションによる仮想コミュニティが歩行習慣化に与える影響に関する研究",
2023,"R05",3,
,"大本颯","ラグランジュ分解・調整法を用いたAGVを含む生産・搬送スケジューリングの同時最適化手法に関する一提案",
,"岸本拓也","畳み込みオートエンコーダを用いた農作物病害株発見手法の一提案",
,"栗本健介","クラウドソースマニュファクチャリング環境下における組合せダブルオークションを用いた長期的なリソース配分手法に関する研究",
,"作田隼樹","MR画像に対するシミュレーションを用いた生体組織固有値推定に関する研究",
,"清水岳","社会課題に対する意思決定支援のためのマルチスケールモデリング及びシミュレーションに関する研究",
,"鈴木陽太","バックオフィス業務を対象とする組合せオークションを用いた業務割当計画手法の一提案",
,"筒井伸輔","マスカスタマイゼーション実現のための部品割当変更を含む生産計画手法の最適化に関する研究",
2022,"R04",3,
,"郭超君","サプライチェーンのための時系列分析を用いた需要予測と情報共有によるブルウィップ効果軽減手法の一提案",
,"金澤宏篤","リース業における需要変動に頑健な在庫管理手法",
,"川本恭平","マッチングメカニズムに基づく新興感染症患者療養先割当手法の一提案-患者と療養先の意思反映に関する検討-",
,"孫誠","人流データを用いたシミュレーションと最適化による地下商店街店舗レイアウト計画手法",
,"辻本悠人","多品種ロット生産における納期遅れと在庫コストを考慮した生産計画手法の一提案",
,"村上亘","受注生産を対象とした多目的最適化による工場内負荷調整を含む生産計画手法に関する研究",
,"薮内雅幸","複数の意思決定者の要求を反映したサステナブル生産の実現を目指す生産計画と工場エネルギー供給計画の連携
手法に関する研究",
2021,"R03",3,
,"入江恭平","提供順序のばらつきを考慮した献立計画手法に関する研究",
,"神田海翔","バイクシェアリングサービスを対象とした社会シミュレーションによる低炭素社会実現に向けた一提案",
,"KAEWPHING Pompimol","A Proposal of Transportantion Cost Optimization Approach for Last Logistics with Time Window",
,"田中喜大","前臨床MR画像に対する腫瘍領域抽出と状態変化解析に関する研究",
,"津谷紘平","機械学習による森林情報分析手法に関する研究",
,"原田瑞基","MBSEにおける要求および構造の関係性に着目したシステム要素変更による影響分析手法の一提案",
,"山根雄","自律分散型最適化手法を用いたマスカスタム生産対応日程計画手法の一提案",
2020,"R02",3,
,"赤堀拓実","不確実環境下におけるロバスト最適化に基づく生産計画手法の一提案",
,"飯塚俊介","機械学習を用いた農作物の収穫予測に関する研究",
,"﨑山誠","アイデアソンを対象としたテキストマイニングによるグループディスカッションの分析手法",
,"仲川侑介","圧縮センシングMRIを用いた肝臓への集束超音波治療支援に関する研究",
,"中山淳志","エージェントシミュレーションによる金融市場のシステミックリスク分析に関する研究",
,"原田佳明","クラウドソースドマニュファクチャリングに対する組合せダブルオークションに基づくリソース配分手法の一提案",
,"松葉裕介","水平分業を含んだサプライチェーンにおける協力ゲームを用いた企業間提携に関する研究",
,"山下健","製造業を対象とした複数主体による受発注計画手法に関する研究",
2019,"H31",3,
,"王心悦","ユーザーの行動履歴に基づく機械学習を用いたサービス設計に関する研究",
,"釜元大樹","企業間ネットワークにおけるサービス普及方策の一提案",
,"周静ﾃｲ","遺伝的アルゴリズムを用いた自動倉庫システムにおける運搬経路最適化手法に関する一提案",
,"杉本直弘","計画段階の解構造を考慮した列車遅延発生時における鉄道乗務員再配置手法",
,"田口智也","超スマート社会実現に向けたデータ活用による異種のシステム関連携に関する研究",
,"西村翔平","マスカスタム生産対応フレキシブルオープンショップスケジューリング手法の一提案",
,"洪性明","生産設備ネットワークにおけるアントエージェントを用いた異常発見手法に関する研究",
,"松元善紀","従業員間の相互作用を考慮した需要変動適応型人員レイアウト計画手法",
2018,"H30",3
,"板谷大地","複数の意思決定者の価値判断を考慮した生産スケジューリングに関する研究",
,"伊藤愛","外食産業における勤務シストスケジュールと業務割当の同時計画手法",
,"坂本一馬","仮想市場を内包した貿易モデルにおけるシミュレーション解析を用いた財取引に関する研究",
,"Nikhanbayev Nursultan","A study on multiscale modeling and its application into electricity market analysis",
,"平井康大","マスカスタマイゼーションの実現を目指すオークション型生産スケジューリング手法に関する研究",
,"李博涵","A robust optimization approach and characteristic analysis for two echelon distribution network with demand uncertainty",
,"梁安","生産システムにおける単純ベイズ法を用いたサイバー攻撃による異常検知に関する研究",
2017,"H29",3
,"今村駿大","ネットワーク構造を有する人工蜂コロニーアルゴリズムの探索能力向上と実用化に関する研究",
,"岩竹大","解空間の構造推定手法を組み込んだ適応的Particle Swarm Optimizationに関する研究",
,"韓暁双","バーチャルエンタプライズ環境下における多段階交渉プロトコルを用いたサプライチェーンの構築手法に関する一提案",
,"小山健太","遺伝的アルゴリズムとシミュレーションの統合による外食産業の厨房設備レイアウト計画",
,"橋本祐真","複雑ネットワークを用いた外部資産を保持する金融機関のシステミックリスクに関する研究",
,"藤澤卓馬","アイデアソンにおける集合知創出とその支援に関する一提案",
2016,"H28",3
,"酒井響平","フレキシブル・フローショップを対象とする構造解析手法を用いた生産スケジューリングに関する研究-ロット編成と機械割付けの同時最適化-",
,"杉之内将大","サプライチェーンを構成する企業間の協調・交渉による受発注計画の最適化に関する研究",
,"陳林碩","遺伝的アルゴリズムとヒューリスティック手法を用いたジョブショップを対象とする生産スケジューリングとAGV搬送計画の同時最適化に関する研究",
,"濱田裕規","組合せオークションを用いた自動倉庫システムの最適運用法に関する研究-複数入出庫口・複数入出庫機への対応-",
,"松林大輔","行路計画と交番計画の統合化による鉄道乗務員運用計画に関する研究",
,"山本知幸","実仮想融合概念を用いたレジリエント生産システムの一提案",
2015,"H27",3
,"小田純平","外食産業における組合せオークションを用いた人員シフト計画手法",
,"駒井寛則","スマートコミュニティにおける市場の概念に基づいた電力配分計画と個別使用計画の最適化",
,"阪口真規","実仮想融合型生産システムにおける工程計画と日程計画の統合に関する研究",
,"清水達也","バーチャルエンタプライズ環境下における契約ネットプロトコルを用いた複雑系仮想市場モデルの一提案",
,"朱佳利","A Study on Production Management considering Reverse Logistics",
,"高井剛","複雑ネットワークにおける情報拡散とその防止に関する研究",
2014,"H26",3
,"岩岡隼平","パターンマッチングを用いた肝腫瘍MRガイド下集束超音波治療の3次元照射位置推定手法の一提案",
,"大掛宗利","並列分枝限定法を用いた生産スケジュールの高速求解法－非一様型並列機械問題を対象に－",
,"奥野天介","組合せオークションを用いたダブルディープ型立体自動倉庫の最適運用法に関する研究",
,"小林洋平","ロット編成を有するフレキシブル・フローショップを対象とした分散協調型スケジューリングによるコスト最小化への一提案",
,"伴井悠馬","応答曲面法による解空間の構造推定に基づいた適応的Particle Swarm Optimization の一提案",
,"野上隼","地下商店街を対象としたエージェントシミュレーションと最適化によるレイアウト計画法の一提案",
,"吉川智哉","実仮想融合型生産システムにおける設備故障を考慮したスケジューリングに関する研究",
2013,"H25",3
,"植村南海","セントラルキッチンにおける設備レイアウト計画に関する研究－遺伝的アルゴリズムと計算機シミュレーションを用いた一解法－",
,"小林広治","市場指向プログラミングを用いたスマートコミュニティにおける電力配分計画の最適化－電力利用者間の効用に基づいた交換メカニズムの一提案－",
,"田ノ畑裕幸","生産スケジューリング問題における分散協調型最適化手法に関する研究－ラグランジュ分解・調整法及び列生成法の比較と特性解析－",
,"中井祐貴","製販一体型のグローバル生産における組合せオークションを用いた受発注戦略の最適化に関する研究",
,"藤本浩輔","エージェントの配置を考慮した複雑系仮想市場による資源配分アルゴリズムの一提案",
2012,"H24",3
,"今西啓太","GPUを用いた並列計算処理による分散協調型最適化手法の高速化",
,"岩元隆志","ロット編成と段取り替えを有するフレキシブル・フローショップを対象とした分散協調型スケジューリング手法に関する研究－ロット編成とスケジューリングの同時最適化－",
,"阪口英生","ネットワーク構造を導入した分散遺伝的アルゴリズムに関する研究",
,"指熊康太","解空間の構造を考慮した相互作用ネットワークに基づく適応的情報共有形態を有するParticle Swarm Optimization",
,"張福涛","フローショップを対象とした超分散離散型シミュレーションの構築法に関する一提案",
,"南宮蘭","不確実な需要環境下における情報共有を用いたサプライチェーンの効率化に関する研究",
,"八田卓","組合せオークションを用いた巡回距離と納期を考慮した自動倉庫システムの運用法に関する研究",
2011,"H23",3
,"青山晋也","Ｊコスト論を用いた生産スケジューリングの方法論に関する研究",
,"大森達也","セル生産システムにおける組合せオークションを用いた作業者配置とスケジューリングの同時最適化手法に関する研究",
,"高尾好江","肝臓に対するＭＲガイド下集束超音波治療のための血管樹状構造に基づく３次元照射位置追尾",
,"辻部晃久","分散協調型手法を用いたプリベンティブ　メンテナンス　スケジューリングの最適化に関する研究",
,"松田徹也","経済主体の複数期戦略を考慮した仮想市場下における資源配分特性解析",
,"吉川智哉","消費者効用の非均質性を考慮した外部性の働くサービスの普及過程に関する研究",
2010,"H22",3
